head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,sirē,azg,ἀγαπᾷ,ἔθνος,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,3,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,False,šineacʻ,=ołovrdanocʻ,ᾠκοδόμησεν,συναγωγὴν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,acc_inf,2,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,yłeacʻ,barekams,ἔπεμψεν,φίλους,verb,common noun,verb,common noun,principale coordinata,principale,new,0,0.0,indicative,indicative,principale coordinata finita,principale finita
False,False,hamarecʻay,anjn,ἠξίωσα,ἐμαυτὸν,verb,common noun,verb,personal reflexive pronoun,principale,principale,old,1,0.0,indicative,indicative,principale finita,principale finita
True,True,ownim,zinowors,ἔχων,στρατιώτας,verb,common noun,verb,common noun,principale coordinata,relativa,non_spec,0,0.0,indicative,participle,principale coordinata finita,relativa non finita
True,True,ara,ays,ποίησον,τοῦτο,verb,demonstrative pronoun,verb,demonstrative pronoun,principale,parpred,acc_sit,1,0.0,imperative,imperative,principale finita,parpred finita
True,True,lowaw,ays,ἀκούσας,ταῦτα,verb,demonstrative pronoun,verb,demonstrative pronoun,,open predication,old,1,0.0,indicative,participle,,open predication non finita
False,False,gti,hawats,εὗρον,πίστιν,verb,common noun,verb,common noun,subordinata completiva,principale,acc_inf,1,1.0,indicative,indicative,subordinata completiva finita,principale finita
True,True,gtin,car̄ay,εὗρον,δοῦλον,verb,common noun,verb,common noun,principale coordinata,principale,old,3,1.0,indicative,indicative,principale coordinata finita,principale finita
True,True,etes,na,ἰδὼν,αὐτὴν,verb,demonstrative pronoun,verb,personal pronoun,,open predication,old,1,0.0,indicative,participle,,open predication non finita
False,,ar̄in,tełí,,,verb,common noun,,,principale coordinata,,info_unannotatable,1,,indicative,,principale coordinata finita,
True,True,ét,na,ἔδωκεν,αὐτὸν,verb,demonstrative pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,1,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,,ar̄nein,Astowác,,θεὸν,verb,proper noun,,common noun,principale coordinata,,acc_gen,1,1.0,indicative,,principale coordinata finita,
False,,arar,áycʻ,,λαὸν,verb,common noun,,common noun,parpred,,new,0,2.0,indicative,,parpred finita,
False,,kalcʻowkʻ,akn,προσδοκῶμεν,,verb,common noun,verb,,principale coordinata,principale coordinata,info_unannotatable,0,,subjunctive,indicative,principale coordinata finita,principale coordinata finita
True,True,ar̄akʻeacʻ,mez,ἀπέσταλκεν,ἡμᾶς,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale,old,1,0.0,indicative,indicative,principale coordinata finita,principale finita
False,,kalcʻowkʻ,akn,προσδοκῶμεν,,verb,common noun,verb,,principale coordinata,principale coordinata,info_unannotatable,0,,subjunctive,indicative,principale coordinata finita,principale coordinata finita
False,,et,Patasxani,ἀποκριθεὶς,,verb,common noun,verb,,principale coordinata,open predication,new,0,,indicative,participle,principale coordinata finita,open predication non finita
False,False,tesēkʻ,or,εἴδετε,ἃ,verb,relative pronoun,verb,relative pronoun,relativa oggettiva coordinata,relativa oggettiva coordinata,,1,0.0,indicative,indicative,relativa oggettiva coordinata finita,relativa oggettiva coordinata finita
