head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,извлѣче,ножъ,ἀπέσπασεν,μάχαιραν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,оударь,раба,πατάξας,δοῦλον,verb,common noun,verb,common noun,open predication,open predication,new,1,2.0,participle,participle,open predication non finita,open predication non finita
True,True,оурѣза,оухо,ἀφεῖλεν,ὠτίον,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,възврати,ножь,ἀπόστρεψον,μάχαιράν,verb,common noun,verb,common noun,principale,principale,new,1,2.0,imperative,imperative,principale finita,principale finita
True,True,приемъшеи,ножь,λαβόντες,μάχαιραν,verb,common noun,verb,common noun,relativa soggettiva,relativa soggettiva,non_spec,0,0.0,participle,participle,relativa soggettiva non finita,relativa soggettiva non finita
True,True,оумолити,отъца,παρακαλέσαι,πατέρα,verb,common noun,verb,common noun,open predication,open predication,new,1,2.0,infinitive,infinitive,open predication non finita,open predication non finita
True,True,ѩти,мѧ,συλλαβεῖν,με,verb,personal pronoun,verb,personal pronoun,open predication,open predication,old,0,0.0,infinitive,infinitive,open predication non finita,open predication non finita
True,True,ѩсте,мене,ἐκρατήσατέ,με,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,оставльше,и,ἀφέντες,αὐτὸν,verb,personal pronoun,verb,personal pronoun,open predication,open predication,old,0,0.0,participle,participle,open predication non finita,open predication non finita
True,True,емъше,исс҃а,κρατήσαντες,Ἰησοῦν,verb,proper noun,verb,proper noun,open predication,open predication,old,0,1.0,participle,participle,open predication non finita,open predication non finita
True,True,видѣти,коньчинѫ,ἰδεῖν,τέλος,verb,common noun,verb,common noun,open predication,open predication,acc_inf,0,1.0,infinitive,infinitive,open predication non finita,open predication non finita
True,False,оубиѭтъ,і,θανατώσουσιν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,,,old,0,0.0,indicative,indicative,,
True,True,разорити,ц҃рквь,καταλῦσαι,ναὸν,verb,common noun,verb,common noun,open predication in coordinazione,open predication in coordinazione,acc_gen,1,2.0,infinitive,infinitive,open predication in coordinazione non finita,open predication in coordinazione non finita
True,False,созъдати,ѭ҄,οἰκοδομῆσαι,αὐτὸν,verb,personal pronoun,verb,personal pronoun,open predication in coordinazione,open predication in coordinazione,old,0,0.0,infinitive,infinitive,open predication in coordinazione non finita,open predication in coordinazione non finita
False,False,отъвѣштаваеши,ничьсоже,ἀποκρίνῃ,οὐδὲν,verb,indefinite pronoun,verb,indefinite pronoun,principale,principale,non_spec,0,0.0,indicative,indicative,principale finita,principale finita
False,False,съвѣдѣтельствоуѭтъ,чъто,καταμαρτυροῦσιν,τί,verb,interrogative pronoun,verb,interrogative pronoun,principale,principale,non_spec,0,0.0,indicative,indicative,principale finita,principale finita
True,True,заклинаѭ,тѧ,ἐξορκίζω,σε,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,растръѕа,ризꙑ,διέρρηξεν,ἱμάτια,verb,common noun,verb,common noun,principale,principale,new,1,2.0,indicative,indicative,principale finita,principale finita
False,False,рече,власфимиѭ,ἐβλασφήμησεν,ἐβλασφήμησεν,verb,common noun,verb,verb,principale,principale,,0,0.0,indicative,indicative,principale finita,principale finita
True,True,слꙑшасте,власфимиѭ,ἠκούσατε,βλασφημίαν,verb,common noun,verb,common noun,principale,principale,old,1,1.0,indicative,indicative,principale finita,principale finita
True,True,запльвашѧ,лице,ἐνέπτυσαν,πρόσωπον,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,,дѣашѧ,пакости,,ἐκολάφισαν,verb,common noun,,verb,principale coordinata,,,0,1.0,indicative,,principale coordinata finita,
True,True,оудареи,тѧ,παίσας,σε,verb,personal pronoun,verb,personal pronoun,relativa soggettiva,relativa soggettiva,old,0,0.0,participle,participle,relativa soggettiva non finita,relativa soggettiva non finita
False,False,г҃лши,чьто,λέγεις,τί,verb,interrogative pronoun,verb,interrogative pronoun,subordinata completiva,subordinata completiva,non_spec,0,0.0,indicative,indicative,subordinata completiva finita,subordinata completiva finita
True,True,оузьрѣ,и,εἶδεν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,знаѭ,ч҃лвка,οἶδα,ἄνθρωπον,verb,common noun,verb,common noun,principale,principale,old,0,1.0,indicative,indicative,principale finita,principale finita
False,False,творитъ,тѧ,ποιεῖ,σε,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,знаѭ,ч҃лвка,οἶδα,ἄνθρωπον,verb,common noun,verb,common noun,principale,principale,acc_gen,0,1.0,indicative,indicative,principale finita,principale finita
True,True,помѣнѫ,г҃лъ,ἐμνήσθη,ῥήματος,verb,common noun,verb,common noun,principale,principale,old_inact,1,2.0,indicative,indicative,principale finita,principale finita
False,False,сътворишѧ,Съвѣтъ,ἔλαβον,συμβούλιον,verb,common noun,verb,common noun,principale,principale,info_unannotatable,0,0.0,indicative,indicative,principale finita,principale finita
True,True,оубити,и,θανατῶσαι,αὐτόν,verb,personal pronoun,verb,personal pronoun,,,old,0,0.0,infinitive,infinitive,,
True,True,съвѣзавъше,и,δήσαντες,αὐτὸν,verb,personal pronoun,verb,personal pronoun,open predication,open predication,old,0,0.0,participle,participle,open predication non finita,open predication non finita
True,,прѣдашѧ,и,παρέδωκαν,,verb,personal pronoun,verb,,principale coordinata,principale coordinata,,0,,indicative,indicative,principale coordinata finita,principale coordinata finita
True,False,осѫдишѧ,и,κατεκρίθη,αὐτὸν,verb,personal pronoun,verb,personal pronoun,subordinata completiva,subordinata completiva,old,0,0.0,indicative,indicative,subordinata completiva finita,subordinata completiva finita
